区,区分,人口,年少人口,0～ 4歳,5～ 9,10～14,生産年齢  人    口,15～19歳,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,老年人口,65～69歳,70～74,75～79,80～84,85～89,90～94,95～99,100歳  以上
北区,新琴似２条９丁目,163,25,11,6,8,90,9,8,3,9,8,17,14,6,7,9,48,11,15,8,8,5,-,-,1
北区,新琴似２条１０丁目,221,34,6,10,18,101,6,7,5,12,12,17,22,6,9,5,86,21,23,15,12,9,6,-,-
北区,新琴似２条１１丁目,333,36,12,11,13,171,8,11,7,10,21,18,29,20,22,25,126,25,29,18,23,24,7,-,-
北区,新琴似２条１２丁目,354,56,15,24,17,174,7,15,8,15,15,34,23,21,24,12,124,23,32,24,23,15,5,2,-
北区,新琴似２条１３丁目,220,22,3,11,8,129,10,17,7,11,10,10,19,13,17,15,69,13,14,5,11,12,12,1,1
北区,新琴似３条１丁目,194,18,6,2,10,100,6,10,4,4,10,8,14,18,20,6,76,18,18,16,14,4,4,1,1
北区,新琴似３条２丁目,446,65,22,23,20,249,22,13,18,22,36,29,37,15,25,32,132,25,39,23,19,16,7,2,1
北区,新琴似３条３丁目,284,32,9,8,15,167,20,9,12,15,11,22,25,23,17,13,85,21,23,20,10,7,1,3,-
北区,新琴似３条４丁目,231,41,14,13,14,119,14,3,3,10,21,23,22,6,6,11,71,18,26,13,6,4,3,1,-
北区,新琴似３条５丁目,279,36,8,12,16,156,23,12,5,10,12,20,28,23,14,9,87,15,22,17,20,8,3,2,-
北区,新琴似３条６丁目,234,28,1,8,19,142,16,12,3,6,11,22,28,21,11,12,64,8,15,17,14,6,3,-,1
北区,新琴似３条７丁目,248,20,10,4,6,128,12,6,10,10,9,16,20,9,12,24,100,20,21,23,20,6,6,4,-
北区,新琴似３条８丁目,94,20,1,8,11,63,10,4,1,-,1,11,19,9,5,3,11,2,1,5,2,1,-,-,-
北区,新琴似３条９丁目,146,18,4,3,11,73,8,1,4,4,7,11,8,12,6,12,55,7,15,12,6,11,3,1,-
北区,新琴似３条１０丁目,168,19,7,7,5,82,6,4,5,10,5,10,12,9,12,9,67,8,16,16,10,13,3,1,-
北区,新琴似３条１１丁目,369,40,11,5,24,189,19,8,9,14,20,20,29,28,23,19,140,29,38,28,18,21,5,1,-
北区,新琴似３条１２丁目,387,52,12,19,21,196,13,6,12,16,27,23,23,28,27,21,139,34,35,30,21,12,7,-,-
北区,新琴似３条１３丁目,379,43,11,13,19,195,12,17,12,23,23,19,23,23,21,22,141,31,44,21,18,15,9,3,-
北区,新琴似４条１丁目,263,24,10,9,5,174,3,23,28,29,16,17,17,12,16,13,65,14,7,21,11,7,3,2,-
北区,新琴似４条２丁目,368,25,7,9,9,188,13,14,10,19,16,15,27,31,17,26,155,29,44,38,24,10,8,2,-
北区,新琴似４条３丁目,194,15,5,6,4,107,4,11,7,11,6,12,10,10,20,16,72,16,20,15,8,9,3,-,1
北区,新琴似４条４丁目,382,51,11,15,25,247,24,28,24,15,18,23,35,35,24,21,84,27,24,19,7,5,2,-,-
北区,新琴似４条５丁目,206,28,8,12,8,99,8,5,3,9,12,20,14,11,4,13,79,16,19,20,12,9,2,1,-
北区,新琴似４条６丁目,245,24,5,8,11,153,19,13,8,8,12,29,26,19,10,9,68,19,20,12,12,2,2,1,-
北区,新琴似４条７丁目,231,23,5,9,9,120,15,4,3,8,8,19,24,16,13,10,88,18,27,25,12,5,-,1,-
北区,新琴似４条８丁目,243,31,5,14,12,123,12,4,6,7,17,14,24,8,14,17,89,13,32,13,16,10,4,1,-
北区,新琴似４条９丁目,36,27,3,16,8,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北区,新琴似４条１１丁目,322,60,18,18,24,199,19,14,16,18,23,26,29,20,21,13,63,23,21,9,5,-,4,1,-
北区,新琴似４条１２丁目,193,12,2,4,6,100,8,8,3,10,8,14,15,10,12,12,81,18,28,13,10,6,3,2,1
北区,新琴似４条１３丁目,309,33,8,11,14,146,7,17,14,9,19,17,14,13,21,15,130,26,36,26,17,11,11,2,1
北区,新琴似４条１４丁目,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
